Nome: BENTO GONCALVES
Codigo Estacao: A840
Latitude: -29.164581
Longitude: -51.534202
Altitude: 623.27
Situacao: Operante
Data Inicial: 2009-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2009-01-31;15;254,4;20,5;
2009-02-28;17;141;21,7;
2009-03-31;13;85,2;21;
2009-04-30;6;24,4;18,4;
2009-05-31;11;127;15,6;
2009-06-30;12;81,8;11,2;
2009-07-31;6;null;null;
2009-08-31;6;null;16,9;
2009-09-30;13;null;15,2;
2009-10-31;11;137;16,9;
2009-11-30;20;337,2;21,5;
2009-12-31;13;216,6;21,3;
2010-01-31;18;278,4;21,9;
2010-02-28;14;161,4;23;
2010-03-31;19;58,4;20,7;
2010-04-30;14;136,4;17,6;
2010-05-31;21;158,6;14,3;
2010-06-30;12;128,2;13,1;
2010-07-31;15;205,6;13;
2010-08-31;9;50,6;13,3;
2010-09-30;13;225,4;15,5;
2010-10-31;11;50,8;16;
2010-11-30;12;88,4;18,4;
2010-12-31;11;89,6;20,9;
2011-01-31;20;164,8;22,8;
2011-02-28;22;221,6;21,6;
2011-03-31;12;264,6;20;
2011-04-30;16;147,8;17,8;
2011-05-31;11;70;14,3;
2011-06-30;16;178,6;11,6;
2011-07-31;17;324,2;12,1;
2011-08-31;16;null;13,3;
2011-09-30;9;57,8;15;
2011-10-31;12;100,2;17,5;
2011-11-30;6;17,4;19,4;
2011-12-31;14;69;20;
2012-01-31;9;64,4;21,7;
2012-02-29;13;173,2;23,3;
2012-03-31;7;85,6;20,5;
2012-04-30;11;74,2;17,3;
2012-05-31;3;25,2;16,2;
2012-06-30;10;53,6;13,1;
2012-07-31;11;181,8;11,7;
2012-08-31;8;66,4;17,3;
2012-09-30;7;220;16;
2012-10-31;15;155,4;18,8;
2012-11-30;7;26;20,5;
2012-12-31;13;217,2;22,9;
2013-01-31;9;104,4;20,9;
2013-02-28;15;105,8;21,2;
2013-03-31;15;186,4;18,4;
2013-04-30;8;106,8;17,7;
2013-05-31;15;127,6;14,7;
2013-06-30;25;141,6;13,1;
2013-07-31;11;96,4;12,1;
2013-08-31;16;303,8;12;
2013-09-30;15;182,8;15,5;
2013-10-31;13;121,6;16,9;
2013-11-30;10;242,8;20;
2013-12-31;10;133,6;22,2;
2014-01-31;13;78,2;23,5;
2014-02-28;15;206,2;23;
2014-03-31;16;187,2;20,1;
2014-04-30;8;127,8;18,1;
2014-05-31;21;145,6;14,4;
2014-06-30;20;242,8;13,2;
2014-07-31;12;135,6;13,6;
2014-08-31;14;113,6;14,9;
2014-09-30;17;206,2;16,7;
2014-10-31;12;174;18,9;
2014-11-30;12;114,2;20,4;
2014-12-31;15;292,4;21,3;
2015-01-31;20;137;22,3;
2015-02-28;14;130,4;21,6;
2015-03-31;7;55,6;20,9;
2015-04-30;11;136,6;18,3;
2015-05-31;12;115;15,7;
2015-06-30;10;203;13,6;
2015-07-31;10;null;null;
2015-08-31;null;null;null;
2015-09-30;null;null;null;
2015-10-31;16;null;17,1;
2015-11-30;17;144,8;18,6;
2015-12-31;15;168,4;21,2;
2016-01-31;10;null;22,8;
2016-02-29;10;null;22,7;
2016-03-31;17;243,4;19,6;
2016-04-30;14;259,6;19,9;
2016-05-31;10;60;12,5;
2016-06-30;7;6,8;9,9;
2016-07-31;13;192,4;12,8;
2016-08-31;10;110,2;14,5;
2016-09-30;8;85;14,2;
2016-10-31;12;367;17,1;
2016-11-30;10;104,4;18,6;
2016-12-31;13;78,8;21,6;
2017-01-31;19;137,6;22,2;
2017-02-28;11;null;22,9;
2017-03-31;13;250;20,3;
2017-04-30;12;157,2;17,4;
2017-05-31;19;310,4;16;
2017-06-30;14;154,6;13,9;
2017-07-31;4;29,2;14,5;
2017-08-31;10;114;15,5;
2017-09-30;8;null;19;
2017-10-31;15;184,2;17,7;
2017-11-30;12;162,4;18,1;
2017-12-31;11;95,4;21,7;
2018-01-31;15;146,6;21,4;
2018-02-28;9;85;21;
2018-03-31;15;82,4;20,4;
2018-04-30;9;82,2;20,3;
2018-05-31;11;118,6;15,5;
2018-06-30;16;179,4;11,7;
2018-07-31;17;163;13,1;
2018-08-31;13;177;12;
2018-09-30;13;221,4;17;
2018-10-31;14;221;17,2;
2018-11-30;11;186,2;20,1;
2018-12-31;13;139,6;21,2;
2019-01-31;15;131,4;23,5;
2019-02-28;13;72,8;21,1;
