data_medicao,precipicatao_total_mm
2009-01-31,"254,4"
2009-02-28,141
2009-03-31,"85,2"
2009-04-30,"24,4"
2009-05-31,127
2009-06-30,"81,8"
2009-07-31,
2009-08-31,
2009-09-30,
2009-10-31,137
2009-11-30,"337,2"
2009-12-31,"216,6"
2010-01-31,"278,4"
2010-02-28,"161,4"
2010-03-31,"58,4"
2010-04-30,"136,4"
2010-05-31,"158,6"
2010-06-30,"128,2"
2010-07-31,"205,6"
2010-08-31,"50,6"
2010-09-30,"225,4"
2010-10-31,"50,8"
2010-11-30,"88,4"
2010-12-31,"89,6"
2011-01-31,"164,8"
2011-02-28,"221,6"
2011-03-31,"264,6"
2011-04-30,"147,8"
2011-05-31,70
2011-06-30,"178,6"
2011-07-31,"324,2"
2011-08-31,
2011-09-30,"57,8"
2011-10-31,"100,2"
2011-11-30,"17,4"
2011-12-31,69
2012-01-31,"64,4"
2012-02-29,"173,2"
2012-03-31,"85,6"
2012-04-30,"74,2"
2012-05-31,"25,2"
2012-06-30,"53,6"
2012-07-31,"181,8"
2012-08-31,"66,4"
2012-09-30,220
2012-10-31,"155,4"
2012-11-30,26
2012-12-31,"217,2"
2013-01-31,"104,4"
2013-02-28,"105,8"
2013-03-31,"186,4"
2013-04-30,"106,8"
2013-05-31,"127,6"
2013-06-30,"141,6"
2013-07-31,"96,4"
2013-08-31,"303,8"
2013-09-30,"182,8"
2013-10-31,"121,6"
2013-11-30,"242,8"
2013-12-31,"133,6"
2014-01-31,"78,2"
2014-02-28,"206,2"
2014-03-31,"187,2"
2014-04-30,"127,8"
2014-05-31,"145,6"
2014-06-30,"242,8"
2014-07-31,"135,6"
2014-08-31,"113,6"
2014-09-30,"206,2"
2014-10-31,174
2014-11-30,"114,2"
2014-12-31,"292,4"
2015-01-31,137
2015-02-28,"130,4"
2015-03-31,"55,6"
2015-04-30,"136,6"
2015-05-31,115
2015-06-30,203
2015-07-31,
2015-08-31,
2015-09-30,
2015-10-31,
2015-11-30,"144,8"
2015-12-31,"168,4"
2016-01-31,
2016-02-29,
2016-03-31,"243,4"
2016-04-30,"259,6"
2016-05-31,60
2016-06-30,"6,8"
2016-07-31,"192,4"
2016-08-31,"110,2"
2016-09-30,85
2016-10-31,367
2016-11-30,"104,4"
2016-12-31,"78,8"
2017-01-31,"137,6"
2017-02-28,
2017-03-31,250
2017-04-30,"157,2"
2017-05-31,"310,4"
2017-06-30,"154,6"
2017-07-31,"29,2"
2017-08-31,114
2017-09-30,
2017-10-31,"184,2"
2017-11-30,"162,4"
2017-12-31,"95,4"
2018-01-31,"146,6"
2018-02-28,85
2018-03-31,"82,4"
2018-04-30,"82,2"
2018-05-31,"118,6"
2018-06-30,"179,4"
2018-07-31,163
2018-08-31,177
2018-09-30,"221,4"
2018-10-31,221
2018-11-30,"186,2"
2018-12-31,"139,6"
2019-01-31,"131,4"
2019-02-28,"72,8"
2019-03-31,"82,6"
2019-04-30,161
2019-05-31,
2019-06-30,"35,8"
2019-07-31,"77,4"
2019-08-31,"90,8"
2019-09-30,79
2019-10-31,"258,4"
2019-11-30,"157,6"
2019-12-31,"33,4"
2020-01-31,"148,8"
2020-02-29,"68,4"
2020-03-31,33
2020-04-30,
2020-05-31,"134,6"
2020-06-30,"198,2"
2020-07-31,"360,6"
2020-08-31,"111,8"
2020-09-30,"134,4"
2020-10-31,50
2020-11-30,39
2020-12-31,125
2021-01-31,"180,8"
2021-02-28,"109,8"
2021-03-31,"148,6"
2021-04-30,"6,8"
2021-05-31,198
2021-06-30,"167,2"
2021-07-31,"35,4"
2021-08-31,"117,2"
2021-09-30,"157,4"
2021-10-31,"105,8"
2021-11-30,"40,2"
2021-12-31,"31,2"
2022-01-31,"81,6"
2022-02-28,"100,2"
2022-03-31,"177,8"
2022-04-30,154
2022-05-31,295
2022-06-30,203
2022-07-31,"147,8"
2022-08-31,"105,4"
2022-09-30,"55,6"
2022-10-31,98
2022-11-30,"78,2"
2022-12-31,"137,6"
2023-01-31,"86,8"
2023-02-28,"138,4"
2023-03-31,"89,4"
2023-04-30,"62,2"
2023-05-31,
2023-06-30,
2023-07-31,"163,8"
2023-08-31,"65,8"
2023-09-30,427
2023-10-31,232
2023-11-30,"275,8"
2023-12-31,"125,6"
